,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Age,Visibility_p_MRP,Item_Identifier_Categories
0,FDA15,-0.8418716873704777,Low Fat,-0.9707321742340472,Dairy,1.747453810500045,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,25,6.423823061760736e-05,FD
1,DRC01,-1.6417058911861941,Regular,-0.9081112260568366,Soft Drinks,-1.4890232521574345,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,15,0.0003993895900491411,DR
2,FDN15,1.0985544875670585,Low Fat,-0.9569173311583046,Meat,0.010040209322175003,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,25,0.00011834706746317559,FD
3,FDX07,1.5008379628589867,Regular,-1.2817577519125376,Fruits and Vegetables,0.6600495477422742,OUT010,1998,Unknown size,Tier 3,Grocery Store,732.38,26,0.0,FD
4,NCD19,-0.9294275025810741,Low Fat,-1.2817577519125376,Household,-1.399219605090881,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,37,0.0,NC
5,FDP36,-0.5827538018147947,Regular,-1.2817577519125376,Baking Goods,-1.4387337236796227,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088,15,0.0,FD
6,FDO10,0.18750073470004458,Regular,-1.0348125138019009,Snack Foods,-1.3382381721359564,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,37,0.00022097388429866735,FD
7,FDP10,0.0,Low Fat,1.1888375157913318,Snack Foods,-0.5336410457037208,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636,39,0.0011828809823852889,FD
8,FDH17,0.7909259476379368,Regular,-0.9583314466642703,Frozen Foods,-0.7069083520213211,OUT045,2002,Unknown size,Tier 2,Supermarket Type1,1076.5986,22,0.0001720807114587007,FD
9,FDU28,1.5008379628589867,Regular,0.5488453065859961,Frozen Foods,0.7520082767866417,OUT017,2007,Unknown size,Tier 2,Supermarket Type1,4710.535,17,0.000502869161873993,FD
